id,post_id,comment_text,author,created_utc,sentiment,TYPE,category,book,comment_num
uzobo9_1,uzobo9,"Cujo is probably a top 3 Stephen King work for me, I look forward to this.",ZZZrp,2022-05-28T15:57:35Z,1,COMMENT,Horror,Cujo,1
uzobo9_2,uzobo9,I’m still waiting for the true Cujo follow up about the dogs with bees in their mouths and when they bark they shoot bees at you,SpartanFan2004,2022-05-29T14:36:47Z,3,COMMENT,Horror,Cujo,2
uzobo9_3,uzobo9,"This prompted me to read Cujo again, since it’s been at least 25 years. Then I realized it’s a Castle Rock story and that I’ve had plans to one day read through those in order. So NOW I’m dusting off The Dead Zone instead, which was also read 25+ years ago.",Capt_Trippz,2022-05-30T17:51:58Z,2,COMMENT,Horror,Cujo,3
uzobo9_4,uzobo9,I'm in the last stretch of Cujo now and I've had to smoke a huge joint just to get through it. Will they roast to death?! Will another officer come?! Argh. I can't take it.,crystalcarrier,2022-07-18T15:23:04Z,0,COMMENT,Horror,Cujo,4
uzobo9_5,uzobo9,"Cujo was so boring, it was such a chore to get through. Couldn’t have cared less about the cereal storyline. And I hate the “completely helpless woman” trope; she acted like a horde of zombies had surrounded the car.",be_passersby,2022-05-29T18:04:05Z,0,COMMENT,Horror,Cujo,5
uzobo9_6,uzobo9,I recently finnished cujo. I thought at the beginning. Pfu a dog getting rabies. This is going to be dull. But damn i was wrong. What a great book,balloon_prototype_14,2022-05-29T09:43:37Z,1,COMMENT,Horror,Cujo,6
uzobo9_7,uzobo9,I'd have to agree that Cujo and Pet Sematary are way up there on the list and I've only read them once each. They creep me out so much that I don't want to read them again (at least so far). I suppose revisiting them as an audiobook is possible.,richg0404,2022-05-28T19:49:39Z,3,COMMENT,Horror,Cujo,7
uzobo9_8,uzobo9,"From what it seems, it doesn't have any characters from Cujo, and the book didn't lead into a cliffhanger. Conceptually, it's about the supernatural forces at play, and possibly giving an answer to what really happened to Cujo. 

Even if he didn't remember writing it, he has read it. It's like writing a fanfiction of your own work, which is a funny concept. 

It's also only going to be a novella, so not a full length book. Although, some of his novellas are still pretty beefy.",Maxtrix07,2022-05-28T18:35:23Z,3,COMMENT,Horror,Cujo,8
uzobo9_9,uzobo9,"She pretty easily could have tricked Cujo into the car and shut it in: open the far side door and get out, reach through and open the near side door, then when Cujo jumps in, shut the doors. If he goes around instead of through, simply get back in and try again from the other side; repeat until the sick dog tires out. Not hard.",be_passersby,2022-05-31T18:18:21Z,3,COMMENT,Horror,Cujo,9
uzobo9_10,uzobo9,"Cujo becomes a lot less scary if it's something supernatural.

A very large dog with rabies in an isolated spot is scary because it's so plausible.",Dana07620,2022-05-28T19:52:04Z,2,COMMENT,Horror,Cujo,10
uzobo9_11,uzobo9,"Cujo wasn’t the supernatural part, it was the ghost of Frank Dodd existing in Tad’s closet.

I don’t love the book, but I do love that aspect of the story, especially since (as I recall), there wasn’t really any resolution to it, which creeps me out.

I’m down for a sequel if it focuses on Dodd.",SacrificialSam,2022-05-28T20:47:45Z,2,COMMENT,Horror,Cujo,11
uzobo9_12,uzobo9,"True. It isn't confirmed what the connection is to Cujo yet. The book is more about the people than the dog, and I have to assume that Rattlesnakes will be the same. Focus on characters, then their confrontations with the rattlesnakes. Yet, there's no way that's the only similarity. 

Maybe it's about the bat that bit Cujo, and where it went afterwards. I know snakes can't get rabies, I'm stretching. But like you, I really do hope that it isn't supernatural.",Maxtrix07,2022-05-28T20:19:15Z,3,COMMENT,Horror,Cujo,12
