id,post_id,comment_text,author,created_utc,sentiment,TYPE,category,book,comment_num
18xekv8_1,18xekv8,">**Ari Mattes**  
>  
>Lecturer in Communications and Media, University of Notre Dame Australia  
>  
>How many times have you come out of the cinema and heard someone snidely remark they preferred the book, as though this somehow connects them to a richer, more highbrow tradition?  
>  
>This might ring true when it comes to literary masterworks like F. Scott Fitzgerald’s The Great Gatsby, adapted into two so-so versions nearly four decades apart (equally dull, for almost opposite reasons). But the reverse is often the case with popular fiction, which benefits from the immersive, visceral quality of the cinema.  
>  
>Peter Benchley’s 1974 novel Jaws, which turns 50 this year, was a smash. Despite critics’ reservations, it was on the New York Times bestseller list for 44 weeks. Yet when we think of Jaws, images from Steven Spielberg’s 1975 film adaptation are what come to mind – along with John Williams’ iconic theme music.  
>  
>Spielberg’s Jaws keeps the simple –  and stunning –  narrative architecture of Benchley’s novel intact. A shark terrorises a small beach community that depends on wealthy tourists for sustenance. Brody, the chief of police, keeps the beaches open due to political pressure from Mayor Vaughan; when more attacks occur, marine biologist Matt Hooper comes to help. Together, they contract wild shark hunter Quint to help them kill the great white.  
>  
>But the tone of grand adventure that defines Spielberg’s film marks a major departure from the novel. In Benchley’s work, more energy is directed towards exploring the minor social and political lives of its small-town denizens than in staging an epic showdown between man and beast – and, crucially, it differs radically from the film in its characterisation. In Spielberg’s world, the main characters are likeable, heroic, whereas in the novel they’re petty, broken and bitter, wading through the messes their personal lives have become.  
>  
>These differences are not simply evidence of a young director’s desire to make the material his own. They map the changing consciousness of American popular culture in the 1970s, from a resolute focus on the violence simmering within United States society and policy (the civil rights movement and the Vietnam War) to an attempt to forget about these things through spectacular, anodyne entertainment.  
>  
>Continued in link",Jariiari7,2024-01-03T08:40:19Z,1,COMMENT,Action,Jaws,1
18xekv8_2,18xekv8,"Thinking back on it, I’m not sure if there is a character that’s more dramatically changed from adapting a book to a movie than Hooper from Jaws.  Hooper from the book is a true shitbag.",prussbus23,2024-01-03T13:46:11Z,3,COMMENT,Action,Jaws,2
18xekv8_3,18xekv8,"On a side note, I searched for Jaws on Barnes and Noble’s site to add it to my wishlist for later and I noticed many books with very similar titles. They weren’t related to Jaws but had titles such as “The New Home: An absolutely gripping psychological thriller with a jaw-dropping twist” and “The Stranger Next Door: The completely unputdownable thriller with a jaw-dropping twist.”

What do you guys think about titles like these in an online bookstore? Personally I think it seems a tacky and I don’t even read the synopsis, I just skip over them. Also, do you think this is tied to AI books or just bad marketing?",JasonZep,2024-01-03T15:22:20Z,2,COMMENT,Action,Jaws,3
18xekv8_4,18xekv8,This has nothing to do with Jaws or marketing and everything to do with how search works.,scdemandred,2024-01-03T17:45:30Z,3,COMMENT,Action,Jaws,4
18xekv8_5,18xekv8,"I suppose. I think I thought i was being a cool, grown-up kid by reading this “adult” novel, and I suspect returning to it now 30+ years later would reveal some flaws I missed.

That said, an adaptation by a good screenwriter could maybe tweak some of the awful people to make them more integration. But then again, Jaws is such an iconic film, remaking it would likely invite mostly ire.",scdemandred,2024-01-03T23:57:10Z,2,COMMENT,Action,Jaws,5
18xekv8_6,18xekv8,"Yeah, the “mass market drivel” was certainly not in reference to Jaws, more the contemporary movie landscape.",scdemandred,2024-01-04T00:03:08Z,2,COMMENT,Action,Jaws,6
15565ce_1,15565ce,"In the way better than they should be novelizations of Jaws 2 and Jaws The Revenge by Hank Searls, this connection becomes explicit.  The ""revenge"" in the novel has to do with an angry voodoo priest in Jamaica connecting to the shark to get revenge on the Brody family.",ohdoubters,2023-07-21T02:13:51Z,1,COMMENT,Action,Jaws,1
15565ce_2,15565ce,"Oh wow, I don’t remember that at all. Granted, I haven’t read Jaws since like 1977 or something.",MissDisplaced,2023-07-21T02:46:01Z,3,COMMENT,Action,Jaws,2
sj4ptk_1,sj4ptk,It rare when the movie is better but it happens. Forrest Gump was the same for me. To be fair jaws is one of my favorite movies of all time and watch it multiple times a year so no way the book would beat it for me,,2022-02-03T00:32:18Z,3,COMMENT,Action,Jaws,1
sj4ptk_2,sj4ptk,"I preferred his Beast to Jaws.

That said, it’s probably been 15-20 years since I read both.",,2022-02-03T01:36:49Z,3,COMMENT,Action,Jaws,2
