id,post_id,comment_text,author,created_utc,sentiment,TYPE,category,book,comment_num
yidfzz_1,yidfzz,"FYI, there's no ""trilogy"" of books on The Godfather by Mario Puzo.  Don Vito, Michael and Clemenza show up in The Sicilian by Puzo, but that's it.  Mark Winegardner wrote two GF books and Edward Falco wrote The Family Corleone, which is the best of the novels not written by Puzo.",Kane76,2022-10-31T14:55:22Z,2,COMMENT,Mystery,The Godfather,1
yidfzz_2,yidfzz,"I recommend reading 'Omerta' by Mario Puzo. I really liked the main protagonist. It's not as deep as 'The Godfather', but it is an easy read which I enjoyed a lot.",KidKaiote,2022-10-31T15:12:28Z,1,COMMENT,Mystery,The Godfather,2
yidfzz_3,yidfzz,"I would not recommend reading any more of Puzo’s work. The second book, The Sicilian, is not the plot of The Godfather II, it is a weird story of Michael stopping over in some random Sicilian town where a smuggler becomes a revolutionary and it is fuckin teeeeeerrible. 

Authors and critics have remarked on how good The Godfather is when compared to how bad the rest of Puzo’s writing is. 

Just stop now.",smanchwhich,2022-10-31T18:30:53Z,0,COMMENT,Mystery,The Godfather,3
yidfzz_4,yidfzz,"Started reading the book 'The Godfather' by Mario Puzo and oh man is it captivating. I've bulldoozed my way through half of the book in just one day, and already bought the rest of the books in the series! 

IMO the book gives another perspective to the film adaptations, especially the first movie.",Totally_Dudebro,2023-03-09T21:20:00Z,1,COMMENT,Mystery,The Godfather,4
yidfzz_5,yidfzz,The Fourth Stall Trilogy > The Godfather Trilogy,RipredTheGnawer,2022-10-31T18:51:53Z,3,COMMENT,Mystery,The Godfather,5
yidfzz_6,yidfzz,The Sicilian is the best fiction book I’ve ever read and is a part of The Godfather world.,sinisterskrilla,2022-10-31T22:45:09Z,1,COMMENT,Mystery,The Godfather,6
yidfzz_7,yidfzz,You might enjoy reading “The Gold Coast” by Nelson Demille - no spoilers but the tagline is “The Great Gatsby meets The Godfather!”,Buffy11bnl,2022-10-31T16:49:41Z,1,COMMENT,Mystery,The Godfather,7
yidfzz_8,yidfzz,There was a lot of real life inspiration for several characters. [The True Series behind The Godfather](https://www.biography.com/.amp/news/godfather-true-stories-books-movies),progfiewjrgu938u938,2022-10-31T19:06:25Z,3,COMMENT,Mystery,The Godfather,8
yidfzz_9,yidfzz,"after watching the series on netflix (i think) The Offer i had to get the book and read it.  I've seen the Godfather 1 and 2 so many times, but I just had to read the book.  Oh man, what a great book.  And having seen the movies so many times, I heard the voices in my head and could just see the actors in the story.",tink815,2022-10-31T20:10:29Z,1,COMMENT,Mystery,The Godfather,9
yidfzz_10,yidfzz,"I’ve read several Mario Puzo books. If you want another book similar to The Godfather, I recommend The Last Don by him. Here is description:

>	The Last Don is Domenico Clericuzio, a wise and ruthless old man who is determined to see his heirs established in legitimate society but whose vision is threatened when secrets from the family's past spark a vicious war between two blood cousins.

>	The Last Don is a mesmerizing tale that takes us inside the equally corrupt worlds of the mob, the movie industry, and the casinos where beautiful actresses and ruthless hitmen are ruled by lust and violence, where sleazy producers and greedy studio heads are drunk on power, where crooked cops and desperate gamblers play dangerous games of betrayal, and where one man controls them all.",DoctorStrawberry,2022-10-31T21:45:25Z,1,COMMENT,Mystery,The Godfather,10
yidfzz_11,yidfzz,I love the Godfather! I read it multiple times as a teen.,winfran,2022-10-31T22:08:08Z,1,COMMENT,Mystery,The Godfather,11
yidfzz_12,yidfzz,"Check out The Sicilian too. I love the Godfather but The Sicilian is one of my favorite books ever. For me, it reads like a lost myth or shakespearean tragedy. The setting is so vivid and evocative and the central drama is so moving.",108mics,2022-10-31T22:14:13Z,1,COMMENT,Mystery,The Godfather,12
yidfzz_13,yidfzz,I literally just finished watching the godfather for the first time in my life just now lol. Wanna read the books now,Dutch-plan-der-Linde,2022-10-31T22:38:04Z,2,COMMENT,Mystery,The Godfather,13
