id,post_id,comment_text,author,created_utc,sentiment,TYPE,category,book,comment_num
7iuemk_1,7iuemk,"Was half expecting the creators of the 1997 game Broken Sword - The Shadow of the Templars to be behind this case.

If you haven't played it - it's a point and click game version of The Da Vinci Code that game out a lot earlier. Also it's a lot better.",,2017-12-10T18:54:29Z,1,COMMENT,Action,Da Vinci Conde,1
7iuemk_2,7iuemk,"> Of course everybody can write about Opus Dei and have copyright protection, but in both ‘The Vatican Boys’ and ‘The Da Vinci Code’ the head of the Opus Dei hires a mercenary to find them a relic so that he can become the most powerful man in Christendom,” Dunn said.

Uh huh, right.  Because ***nobody*** ever used the ""hire a merc to help him become more powerful"" trope before.  Un-fucking-believable.",JustNilt,2017-12-10T22:40:25Z,0,COMMENT,Action,Da Vinci Conde,2
7iuemk_3,7iuemk,"I tried reading The Da Vinci Code once and there were too many French words in the first few pages that I couldn't figure out what was happening. I realize this is my fault, but from what I gather I actually won out in this particular instance.",,2017-12-10T21:35:15Z,2,COMMENT,Action,Da Vinci Conde,3
7iuemk_4,7iuemk,"Turns out 'The Da Vinci Code' was actually written by the Council of Nicaea, in 1300.",BLOW_UP_THE_OCEAN,2017-12-11T00:20:53Z,3,COMMENT,Action,Da Vinci Conde,4
7iuemk_5,7iuemk,"Wow, as if 'The Da Vinci Code' wasn't bad enough",,2017-12-11T02:53:46Z,3,COMMENT,Action,Da Vinci Conde,5
7iuemk_6,7iuemk,"If I wrote the Da Vinci Code, and Dan Brown stole it from me, I'd never admit it.",crystalistwo,2017-12-11T01:34:56Z,2,COMMENT,Action,Da Vinci Conde,6
7iuemk_7,7iuemk,"> “Dan Brown took huge elements from my book. Of course everybody can write about Opus Dei and have copyright protection, but in both ‘The Vatican Boys’ and ‘The Da Vinci Code’ the head of the Opus Dei hires a mercenary to find them a relic so that he can become the most powerful man in Christendom,” Dunn said.

>The similarities that Dunn alleges range from the beginning of both books, where a member of a secret brotherhood is murdered because they know a secret about the Catholic Church, to the climax in the novels occurring at Opus Dei House in London where the head of Opus Dei flies in on a private jet from Rome in search of a relic.

David Morrell writes these plots as well - far better than Brown. (I have not read the other author.)",nosnivel,2017-12-10T19:01:33Z,2,COMMENT,Action,Da Vinci Conde,7
7iuemk_8,7iuemk,Plagiarize something & the best you could come up with was the Da Vinci Code?   Ugh ,,2017-12-10T22:27:42Z,0,COMMENT,Action,Da Vinci Conde,8
7iuemk_9,7iuemk,This smells like promotion for his own book the Vatican boys. What does the Vatican even have so much to do with the Da Vinci Code. It was Illuminati which played in Rome and the Vatican. Langdon spent time following the path of enlightenment and did research in the Vatican's library. Da Vinci Code starts out in Le Louvre in Paris.,,2017-12-11T02:49:55Z,0,COMMENT,Action,Da Vinci Conde,9
7iuemk_10,7iuemk,"**The Da Vinci Code, opening sentence:** Renowned curator Jacques Saunière staggered through the vaulted archway of the museum's Grand Gallery.


**Angels and Demons, opening sentence:** Physicist Leonardo Vetra smelled burning flesh, and he knew it was his own.


**Deception Point, opening sentences:** Death, in this forsaken place, could come in countless forms. Geologist Charles Brophy had endured the savage splendor of this terrain for years, and yet nothing could prepare him for a fate as barbarous and unnatural as the one about to befall him.",waylonk,2017-12-10T21:46:46Z,3,COMMENT,Action,Da Vinci Conde,10
7iuemk_11,7iuemk,"Same. If it weren’t for The Da Vinci Code, I actually wouldn’t be where I am in life now. I read it my freshman year of high school. It was the first I had ever heard of cryptography and I thought it was fascinating so I did some independent research, which led me to linguistics. And now I’m earning a PhD in Slavic linguistics. 

Edit: this is now my highest-rated comment. I’m good with it. ",grmblstltskn,2017-12-10T18:32:07Z,1,COMMENT,Action,Da Vinci Conde,11
7iuemk_12,7iuemk,"After my mom gave me her copy of The Da Vinci Code and asked for my opinion, I told her it was like Umberto Eco for dummies. I have learned to no longer discuss books with my mother.",strum_and_dang,2017-12-10T18:57:45Z,2,COMMENT,Action,Da Vinci Conde,12
7iuemk_13,7iuemk,"The Da Vinci Code, chapter 4: 

>""Captain Bezu Fache carried himself like an angry ox, with his wide shoulders thrown back and his chin tucked hard into his chest. His dark hair was slicked back with oil, accentuating an arrow-like widow's peak that divided his jutting brow and preceded him like the prow of a battleship. As he advanced, his dark eyes seemed to scorch the earth before him, radiating a fiery clarity that forecast his reputation for unblinking severity in all matters.""

[Here a whole list of them](http://www.telegraph.co.uk/culture/books/booknews/6194031/The-Lost-Symbol-and-The-Da-Vinci-Code-author-Dan-Browns-20-worst-sentences.html)",fustilarianfopdoodle,2017-12-10T17:25:12Z,1,COMMENT,Action,Da Vinci Conde,13
