id,post_id,comment_text,author,created_utc,sentiment,TYPE,category,book,comment_num
bs3bus_1,bs3bus,"Going Postal is probably one of my favorite Pratchett books.   The Night Watch books are probably the best ones.  I would highly recommend Guards, Guards! as your next one, or maybe Small Gods since that also has a lot of parallels to real life",jbeldham,2019-05-23T15:05:41Z,3,COMMENT,Comedy,Going Postal,1
bs3bus_2,bs3bus,"Welcome to the club! 

I would recommend Mort and Pyramids, not of the basis of Going Postal but just because they’re great! 

Also fun fact, he lived very close to my hometown and I used to see him in the Supermarket alot haha! Lovely guy.",,2019-05-23T15:33:11Z,2,COMMENT,Comedy,Going Postal,2
bs3bus_3,bs3bus,"""Going Postal"" was at the top of his game. It was even made into a movie.

""Hogfather"" is right up there too, and was also made into a movie. We usually watch it around Christmas, when everyone else is watching ""It's a wonderful life.""",Markqz,2019-05-23T17:49:49Z,1,COMMENT,Comedy,Going Postal,3
bs3bus_4,bs3bus,"If you liked Going Postal, the direct sequel (I think) is Making Money. 

Enjoy. My personal favorites are the Sam Vimes and Rincewind arcs. Or Death. Or the witches...bugger all, just keep reading )",Herr_Underdogg,2019-05-23T19:08:34Z,1,COMMENT,Comedy,Going Postal,4
bs3bus_5,bs3bus,Amazon Prime has the movie version of Going Postal and it’s quite good. I enjoyed seeing the directors idea of the fleshed out characters versus my own.,MadamWoo2,2019-05-23T19:22:57Z,1,COMMENT,Comedy,Going Postal,5
bs3bus_6,bs3bus,Going Postal is still my absolute favorite Pratchett novel!  I love the social commentary in it!,fskern,2019-05-23T20:07:39Z,1,COMMENT,Comedy,Going Postal,6
bs3bus_7,bs3bus,"I highly recommend reading Mort. I feel like Going Postal and this one are among his best just because the story is more interesting to me.

Reading Pratchett's discworld series has just been amazing. I discovered his work just last year. I think I love his sense of humor and quirky sensibilities , especially because they come through his writing style. So amazing..",standswithpencil,2019-05-23T17:45:09Z,1,COMMENT,Comedy,Going Postal,7
bs3bus_8,bs3bus,"Awesome! Going Postal was one of my first few ones in the Discworld books, too. Hope you’ll love the Watch series as well.",lopiqol,2019-05-23T18:24:11Z,1,COMMENT,Comedy,Going Postal,8
bs3bus_9,bs3bus,"Going Postal is my favorite, as well.

If you've got the inclination to read all of the Discworld books, then I suggest reading them in the order they were published. This is also chronological order. You get to watch what starts out as a bog-standard fantasy universe get embroiled in world wars and go through an industrial revolution.

Just be aware that the early books are **not** as engaging as Going Postal, unfortunately. But by the time you hit (IMO) Men At Arms, the series is in full swing.",goatili,2019-05-23T19:15:01Z,1,COMMENT,Comedy,Going Postal,9
bs3bus_10,bs3bus,"Color of Magic was a difficult one to get into (also the first Pratchett book I read), but the humor made me curious as to what else he'd written. I've read several Discworld books now and Going Postal is actually my least favorite one... Loved Mort (and everything else Death makes an appearance in) and Night Watch!",xMari7,2019-05-23T20:28:27Z,2,COMMENT,Comedy,Going Postal,10
