id,post_id,comment_text,author,created_utc,sentiment,TYPE,category,book,comment_num
13yecz7_1,13yecz7,"I love Macbeth, but you're totally wrong about it being one of the first stories to focus on the psyche. I mean, the word ""psyche"" is literally the name of a mythological story character.

But more specifically, the Illiad has long monologues all about the why, the psychological state of the characters, and a critique of their society.

Elektra is a play that predates Macbeth by more than a thousand years that's basically all people agonizing over the why and their psychological torment until the main character finally murders her husband.

If you haven't seen Akira Kurosawa's adaptation of Macbeth *Ran* though, it's one of the greatest movies of all time. Also Patrick Stewart's version is fantastic.",LurkerFailsLurking,2023-06-03T02:29:27Z,2,COMMENT,Horror,Macbeth,1
13yecz7_2,13yecz7,"Hamlet preceded it by 5-7 years so I think it’s more a development of his focus on human psychology. You might enjoy Harold Bloom’s book on Shakespeare, The Invention of the Human, which has a reading of Macbeth much like yours.",mvandenh,2023-06-03T00:34:54Z,2,COMMENT,Horror,Macbeth,2
13yecz7_3,13yecz7,I taught Macbeth for years. I miss sharing it with students.,,2023-06-02T14:54:39Z,2,COMMENT,Horror,Macbeth,3
13yecz7_4,13yecz7,Macbeth is by far my favorite Shakespeare play. I’m sad I never got to work on a production back in my theater days,funkylittledeathomen,2023-06-02T23:36:25Z,3,COMMENT,Horror,Macbeth,4
13yecz7_5,13yecz7,">Macbeth is the shortest, bloodiest


 I guess you haven't read Titus Andronicus",Anon-fickleflake,2023-06-03T09:28:22Z,3,COMMENT,Horror,Macbeth,5
13yecz7_6,13yecz7,"I love Macbeth. I did it for GCSE English, and it was by far my favourite of all the texts we studied.",Beautiful-Cat-1519,2023-06-04T13:22:21Z,1,COMMENT,Horror,Macbeth,6
13yecz7_7,13yecz7,The Godfather also rips off the plot of Macbeth big-time.,FuriouSherman,2023-06-02T23:28:12Z,3,COMMENT,Horror,Macbeth,7
13yecz7_8,13yecz7,"I preface this by saying I'm no longer teaching (US). However, this is *exactly* what I loved about reading this book with angsty middle schoolers. I'm a theater kid at heart, beyond just my training in literature, and so I would really try to help them lean into the performance aspects of the play. I think the most important part of this story is inhabiting the ""space"" of the story. By inhabiting the space - physical, emotional, and psychological - you gain a different kind of perspective on Macbeth himself as well as all of the other characters that exist in his story. 

&#x200B;

(Macduff's ""but I must feel it as a man"" ranks high in my favorite lines of all time.)

&#x200B;

My  background in literary analysis is mostly in discussing the way literature illustrates psychological experiences. (I mostly focused on The Inklings, but I dabbled elsewhere.) I've found that Shakespeare in general, but especially in *Macbeth*, does a phenomenal job of exploring the human psyche's downward spirals, but also its resilience. Thus, as other commenters have mentioned, I'm not sure it ""kickstarted"" the psychological genre as such, that honor *likely* goes to *Oedipus Rex* or perhaps, to some extent, even *The Epic of Gilgamesh,* but I would go so far as to say it has inspired/ kickstarted the psychological genre of the modern era. 

&#x200B;

I suppose what I mean by that is, like many modern authors in the psychological genre, Shakespeare digs into more than one point of view. While the story, obviously, centers on Macbeth, Shakespeare has several characters (Lady Macbeth, Macduff, and, to some extent, Malcolm all come to mind) that also have fully developed psyches. I think that's part of what makes it feel so real when you watch well done productions of *Macbeth* or read it. Macduff beautifully foils Macbeth in the sense that Macduff represents psychological resilience where Macbeth is crumbling under the weight of his guilt. I think what sets Macbeth a part from things like *Oedipus Rex* and other older works that focus on the human psyche is that very little is done ""off screen."" Macbeth communicates to the audience directly his struggle, his decent into madness, and his tyranny. There is little of Macbeth's downfall that is left to the imagination, and there is little of Macduff's rise to heroism that is shown off screen. In a short number of words, Shakespeare manages to communicate two completely different stories about the human mind. 

&#x200B;

This is a topic that is endlessly fascinating to me because how Shakespeare manages to communicate the psychological struggles of his characters is so profound. Macbeth is a heroic man whose poor choices end in his guilt-ridden downfall. His wife brought him down to her level and, in turn, she is brought down with him. However, Macduff raises up Malcolm and, in raising him up, raises himself through his grief. GAH! Now I want to go back and read *Macbeth* again.",psshuller,2023-06-04T05:00:14Z,1,COMMENT,Horror,Macbeth,8
13yecz7_9,13yecz7,"Understand what you’re trying to say, but Shakespeare is definitely the most influential writer of the English language, and his writing Macbeth definitely brought such themes to a wider audience.",RodionRomanovich1866,2023-06-02T19:24:01Z,1,COMMENT,Horror,Macbeth,9
13yecz7_10,13yecz7,"I have seen two great film adaptations of Macbeth : one is the Macbeth made by Orson Welles in 1948, and the other is Throne of Blood by Akira Kurosawa.",NekoCatSidhe,2023-06-02T17:06:06Z,3,COMMENT,Horror,Macbeth,10
13yecz7_11,13yecz7,"Crime and Punishment is one of my favourite books too!   As for plays, I would of course recommend watching the Mckellen production, but that’s not what you asked for so if you’re looking for movies the tragedy of Macbeth (Apple TV) was surprisingly good.",RodionRomanovich1866,2023-06-02T19:25:47Z,1,COMMENT,Horror,Macbeth,11
wqhe8q_1,wqhe8q,"If you think, ""hey, that's bullshit!"" when you hear about the 'not of woman born' exception then you know exactly how Macbeth feels about it. 

Prophecies are nearly always tricksy in old stories (and probably modern ones too). The receiver would be advised not to rely on them too much.",Numetshell,2022-08-17T07:14:27Z,1,COMMENT,Horror,Macbeth,1
wqhe8q_2,wqhe8q,"To be honest the 2015 edition of Macbeth is a bit ho-hum. I remember there was a lot of mud. If you want a cool reinterpretation of Macbeth, similar to Baz Luhrmann's version of Romeo & Juliet, Geoffrey Wright did a great version in 2006 starring Sam Worthington, where everyone is gangsters in the Melbourne underworld, and the climactic battle is done with machine guns that have laser sights.

Polanski probably did the best straight movie adaptation of the material in my view (and was the one we watched in school when studying the play), but there's obviously ethical concerns with watching his movies. Orson Welles also did a version of Macbeth but I found that one a bit stagey.",Flimsy_Demand7237,2022-08-17T06:52:47Z,2,COMMENT,Horror,Macbeth,2
