id,post_id,comment_text,author,created_utc,sentiment,TYPE,category,book,comment_num
928sye_1,928sye,"I decided to get *The Call of Cthulhu and Other Weird Tales* by Vintage Classics earlier this year. I never really read horror before but I was going through a great *Call of Cthulhu* roleplay campaign, so I wanted to check out his writing, and a 'greatest hits' sort of thing seemed the best bet. Of course, tsundoku hit and it remains unread, but at least I'm sorted for part of October.",1945BestYear,2018-07-27T12:32:19Z,3,COMMENT,Horror,The Exorcist,1
dwqt6e_1,dwqt6e,"I love Lovecraft. I agree with you, the call of cthulhu is not his best work. 

The haunter of the dark

The colors out of space

The shade over innsmouth

Are my favorites.",Fitz_Fool,2019-11-15T17:42:49Z,3,COMMENT,Horror,The Exorcist,1
dwqt6e_2,dwqt6e,"The call of Cthulhu was never his best work, simply his most popular and well known.
He himself never thought much of it.
He viewed other works, such as Dagon, to be much more important to his mythos.
Hence why Dagon is also a much more prominent deity in it.

Cthulhu simply caught the attention of many more people.",Sir__Alucard,2019-11-15T22:04:14Z,2,COMMENT,Horror,The Exorcist,2
dwqt6e_3,dwqt6e,"The shadow over innsmouth is his second most popular work, right after the call of Cthulhu.
How can you call it underrated?",Sir__Alucard,2019-11-15T22:06:29Z,2,COMMENT,Horror,The Exorcist,3
1021gz4_1,1021gz4,"I'm assuming you know the difference between The Call of Cthulhu and the Myths. 

The Call of Cthulhu is the third story about the Myths of Cthulhu. The Myths are 18 works:

- 13 stories + 4 long stories (between 1919-1932) + a book of poems.

I can understand you in one meaning: to enjoy it, maybe you need to know all the Myths.

And remember:

Ph'nglui mglw'nafh Cthulhu R'lyeh wgah'nagl fhtagn",A_book_reader_,2023-01-03T12:19:22Z,3,COMMENT,Horror,The Exorcist,1
bnv80_1,bnv80,"Thanks, that was my source for The Call of Cthulhu too. I use a Flash blocker, of course! Flash is far more likely to drive me mad than any of the Great Old Ones.",A_for_Anonymous,2010-04-08T19:50:55Z,3,COMMENT,Horror,The Exorcist,1
iwz6ol_1,iwz6ol,"One of my favorite podcasts and one of my favorite readings. Andrew Lemans reads ""The Call of Cthulhu"".

https://hppodcraft.com/2011/10/26/reading-6-the-call-of-cthulhu/",kwizatscataract,2020-09-21T15:29:03Z,2,COMMENT,Horror,The Exorcist,1
iwz6ol_2,iwz6ol,This proves Dune is a complex literary masterpiece and The Call of Cthulhu is conversational trash /s,stingray85,2020-09-21T15:20:16Z,3,COMMENT,Horror,The Exorcist,2
iwz6ol_3,iwz6ol,You mean the Call of Cthulhu board game?,3nz3r0,2020-09-22T02:03:55Z,3,COMMENT,Horror,The Exorcist,3
aucnjv_1,aucnjv,">If I have one complaint, it's that Lovecraft has the habit of being overly verbose at times, which really kills the pacing of some of these stories and makes them kind of difficult to read.

Yeah, that's a common complaint. I don't mind Lovecraft's prose personally, but it can take some getting used to. Once you do get used to it it really helps to build the creepy, oppressive atmosphere. Lovecraft was the guy who took horro and dragged it into the atomic age, giving it a cosmic, almost sci-fi bent. He seemed to realize that dialogue wasn't his forte, so he opted for large blocks of descriptive prose. 

The first Lovecraft I read was a ""best of"" type of collection, I forget the title, but it had most of his famous stories: The Call of Cthulhu, The Rats in the Walls, The Colour out of Space, The Dunwich Horror, and a bunch of others. There's a large hardcover edition of his works, complete with annotations, that I've seen in the local bookstores.

",Draggonzz,2019-02-24T23:52:42Z,1,COMMENT,Horror,The Exorcist,1
