id,post_id,comment_text,author,created_utc,sentiment,TYPE,category,book,comment_num
iz0gss_1,iz0gss,"I feel like the much much better version of the Maze Runner premier is Ender's Game - sending kids into an elaborate training ground.

It helps that Card actually explains why they're there.

Dashner just made a generic post-apocalyptic story.",Waker_of_Winds2003,2020-09-24T17:34:24Z,0,COMMENT,Action,The Maze Runner,1
iz0gss_2,iz0gss,"Totally agree. Ender's game is one of the best scifi books with kids as main characters. They didn't put the kids in the same type of danger as The Maze Runner, which is more believable. There were actual consequences to their actions, and there was was better character development in Ender's Game too, especially in later books.",Atreides16,2020-09-24T17:42:34Z,1,COMMENT,Action,The Maze Runner,2
k51srz_1,k51srz,"The Maze Runner trilogy left me wholly dissatisfied by the end. Everything it set up had a terrible or anticlimactic payoff in Death Cure imo. >!Chuck’s family, Thomas and Teresa’s relationship, the cure for Flare, Vince and the opposition!< and more. It also ended with a very confusing moral message by >!destroying Denver, dooming the rest of humanity to die, and proving WICKED truly was doing an ugly but necessary thing with trying to kill Thomas for a cure. The writer also failed to properly develop Teresa and forced this nobody Brenda on Thomas.!<It just felt rushed and didnt payoff anything properly imo. 

I think Maze Runner was the only truly great one because of its unique storytelling device of  >!starting with an amnesiac Thomas, being thrust into a foreign environment, and the insane amount of tension when dealing with Grievers or learning about the  Griever Hole!<. However, as the series progressed, it became obvious that Thomas has plot armor. I think Scorch Trials is only good because of its mystery and atmosphere. They’re travelling in a foreign, hostile landscape after just making it through the events of Maze Runner. After the payoffs are spoiled in Death Cure, I can’t enjoy it because I know it literally goes nowhere.",No-Seaweed-4456,2020-12-02T18:51:24Z,0,COMMENT,Action,The Maze Runner,1
k51srz_2,k51srz,"the book itself was good and all and I just finish the hunger game. Their both very good books, i did wish The Maze Runner had more of it world it sound and look good in my head but the author didn't do much of it.",patric5,2020-12-02T22:04:17Z,1,COMMENT,Action,The Maze Runner,2
k51srz_3,k51srz,"James Dashner is an idea guy, but fails miserably at execution. His style of writing is so juvenile; it feels like he’s talking down to his readers in a way. I only powered through The Maze Runner series back in 2013 because I was excited that Dylan O’Brien was getting a lead role in the movie series.",NefarioussNess,2020-12-02T18:57:47Z,0,COMMENT,Action,The Maze Runner,3
371h3w_1,371h3w,"I saw the movie before I read the book. My sister did the opposite. I absolutely hated the book and felt like the movie made the characters much more relatable than the book did.

I decided to read the next two in the series and have to say that IMO, they were a real step up from the first book. Scorch Trials I think is the best of the three. The writing is not fantastic, but I enjoy the story line enough that I can get past that.

I think they adapted the Maze Runner book into a fantastic screenplay and I think the actors definitely suited the characters. I'm looking forward to seeing how Scorch Trials goes when it comes out this September.

I think it's worth reading the next two because the over-arching plot is excellent, but the writing gets in the way. Just my two cents :)",lastcallanniejames,2015-05-24T07:17:36Z,0,COMMENT,Action,The Maze Runner,1
qbyzw9_1,qbyzw9,"The Maze Runner Series.

Read the first book and found it pretty cool and interesting but then every book after that just felt like the collection of a fever dream and a video game rolled into one. Between the random other challenges and story tangents to the whole twist ending it all just felt like the writer kept changing his mind on where to take the story but never deleted the old content. And don't even get me started on the prequels! Both books were only a couple hundred pages each but took me literal months to read and get through just because of how there was no reason to even be reading them with how the main series decided to end itself. I had to sit down and force myself to get through it chapter by chapter like a child taking medicine.",fatkidzftw,2021-10-20T16:46:04Z,0,COMMENT,Action,The Maze Runner,1
2d3y86_1,2d3y86,"I read the first Hunger Games and loved it, kind of fell off during Mockingjay.  I guess it felt like it kind of started to lull and I lost interest.  I plan to go back and finish it though.

The Maze Runner series so far has been snowballing with intensity.  There hasn't been a moment yet where I felt like I was reading a part just to get through it and back to the action.  For me it's just been consistently entertaining through every single word.  And it's super easy to read.

Haven't read Divergent.",analogfrog,2014-08-10T02:14:13Z,1,COMMENT,Action,The Maze Runner,1
2d3y86_2,2d3y86,"I loved both the Divergent series and the Maze Runner series.  I feel like Divergent is almost (dare I say it) a ""twilight"" because a lot of the story is based off young love... Maze Runner much less.  Maze Runner is more about the action & the mystery.",Vextin_Games,2014-08-10T03:56:22Z,1,COMMENT,Action,The Maze Runner,2
2d3y86_3,2d3y86,I started to but I didn't like the fact that it wasn't about the main characters. I am hoping that there is a book after the prequel that will let us know about Thomas' life before The Maze Runner!,mell87,2014-09-07T04:20:02Z,2,COMMENT,Action,The Maze Runner,3
pt617_1,pt617,"Yes, I agree to most of what you said here. The ""Gladers"" slang words definitely irritated me, and at many points, I just wished they would use regular words.
I will definitely read those books, as I am currently looking for a new book to read. Also, one last question, did you read all three books? (The Maze Runner, The Scorch Trials, and The Death Cure)",Nova11,2012-03-15T04:15:17Z,2,COMMENT,Action,The Maze Runner,1
pt617_2,pt617,"Ah, yes i could see that. It's true, the content can be quite average at some points. Yeah, i see what you mean about the hunger games. Those books are also amazing, i am greatly looking forward to the movie. I think the Maze runner movie will be good, but i'm not sure how it will do in comparison to the books. Thank you for your response!",Nova11,2012-02-18T06:38:54Z,2,COMMENT,Action,The Maze Runner,2
6iyjge_1,6iyjge,"I like the books more, but there are things in the movies that I like a lot better. I like Scorch Trials' movie storyline a bit more, but it wasn't as detailed as the book. I like the move out of it and the Maze Runner, but I kinda like The Maze Runner book better between it and Scorch Trials",Gryffindorcommoner,2017-06-23T18:16:41Z,2,COMMENT,Action,The Maze Runner,1
