127.0.0.1 - - [11/Apr/2024:08:35:26 +0000] "GET /solr/admin/info/system?wt=json HTTP/1.1" 200 4220
127.0.0.1 - - [11/Apr/2024:10:18:30 +0000] "GET /solr HTTP/1.1" 302 0
127.0.0.1 - - [11/Apr/2024:10:18:30 +0000] "GET /solr/ HTTP/1.1" 200 3298
127.0.0.1 - - [11/Apr/2024:10:18:30 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:18:30 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1472
127.0.0.1 - - [11/Apr/2024:10:18:30 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1466
127.0.0.1 - - [11/Apr/2024:10:22:29 +0000] "GET /solr/new_core/update?stream.body=%3Cdelete%3E%3Cquery%3E*:*%3C/query%3E%3C/delete%3E&commit=true HTTP/1.1" 200 157
127.0.0.1 - - [11/Apr/2024:10:23:07 +0000] "GET /solr/new_core/update?stream.body=%3Cdelete%3E%3Cquery%3E*:*%3C/query%3E%3C/delete%3E&commit=true HTTP/1.1" 200 155
127.0.0.1 - - [11/Apr/2024:10:23:29 +0000] "GET /solr/new_core/update?stream.body=%3Cdelete%3E%3Cquery%3E*:*%3C/query%3E%3C/delete%3E&commit=true HTTP/1.1" 200 155
127.0.0.1 - - [11/Apr/2024:10:23:59 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:23:59 +0000] "GET /solr/new_core/admin/ping?_=1712830710656&action=status&ts=1712830710656&wt=json HTTP/1.1" 503 461
127.0.0.1 - - [11/Apr/2024:10:23:59 +0000] "GET /solr/new_core/replication?_=1712831038892&command=details&wt=json HTTP/1.1" 200 647
127.0.0.1 - - [11/Apr/2024:10:23:59 +0000] "GET /solr/new_core/admin/luke?_=1712831038892&numTerms=0&show=index&wt=json HTTP/1.1" 200 758
127.0.0.1 - - [11/Apr/2024:10:23:59 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1469
127.0.0.1 - - [11/Apr/2024:10:23:59 +0000] "GET /solr/new_core/admin/system?_=1712831038892&wt=json HTTP/1.1" 200 1627
127.0.0.1 - - [11/Apr/2024:10:24:01 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:24:01 +0000] "GET /solr/new_core/admin/luke?_=1712831038892&show=schema&wt=json HTTP/1.1" 200 6175
127.0.0.1 - - [11/Apr/2024:10:24:01 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1468
